-0.1       0.00690980   0.04240356   0.04385198   0.10229579
 0.0       0.00689183   0.04320226   0.04320237   0.10246130
 0.1       0.00690562   0.04251451   0.04406821   0.10270158
 0.2       0.00690405   0.04173691   0.04490983   0.10301057
 0.3       0.00690851   0.04094295   0.04572856   0.10339611
 0.4       0.00691240   0.04005251   0.04656538   0.10384304
 0.5       0.00690845   0.03911040   0.04738656   0.10434528
 0.6       0.00691671   0.03813408   0.04822524   0.10490349
 0.7       0.00692068   0.03712490   0.04906694   0.10550895
 0.8       0.00693134   0.03603916   0.04994858   0.10615734
 0.9       0.00693098   0.03494023   0.05076137   0.10684748
 1.0       0.00691484   0.03374599   0.05156021   0.10756246
 1.1       0.00693332   0.03259093   0.05239103   0.10832843
