-0.1       0.00951911   0.05720674   0.06006104   0.15239719
 0.0       0.00952842   0.05856214   0.05868691   0.15237005
 0.1       0.00954726   0.05735592   0.05999165   0.15278110
 0.2       0.00955367   0.05601303   0.06145189   0.15293599
 0.3       0.00954605   0.05451050   0.06276934   0.15315680
 0.4       0.00957135   0.05318526   0.06424085   0.15344209
 0.5       0.00957955   0.05183696   0.06566996   0.15374223
 0.6       0.00957427   0.05047333   0.06713314   0.15406119
 0.7       0.00957581   0.04909835   0.06853726   0.15438625
 0.8       0.00956895   0.04778825   0.07007921   0.15476959
 0.9       0.00957527   0.04644855   0.07147449   0.15511681
 1.0       0.00955310   0.04503544   0.07281496   0.15537540
