Energy (meV)          FC          FCHT        HT        TOT
-1.50000000e+02    5.84344509e-36    -1.17995805e-36    6.37585585e-38    4.72724559e-36
-1.49900000e+02    6.14155925e-36    -1.23593539e-36    6.65656641e-38    4.97218952e-36
-1.49800000e+02    6.45595372e-36    -1.29476984e-36    6.95060045e-38    5.23068989e-36
-1.49700000e+02    6.78757219e-36    -1.35661740e-36    7.25863822e-38    5.50354117e-36
-1.49600000e+02    7.13741577e-36    -1.42164313e-36    7.58139711e-38    5.79158661e-36
-1.49500000e+02    7.50654668e-36    -1.49002165e-36    7.91963377e-38    6.09572137e-36
-1.49400000e+02    7.89609212e-36    -1.56193777e-36    8.27414643e-38    6.41689581e-36
-1.49300000e+02    8.30724833e-36    -1.63758706e-36    8.64577729e-38    6.75611905e-36
-1.49200000e+02    8.74128507e-36    -1.71717656e-36    9.03541508e-38    7.11446266e-36
-1.49100000e+02    9.19955024e-36    -1.80092545e-36    9.44399780e-38    7.49306477e-36
-1.49000000e+02    9.68347487e-36    -1.88906579e-36    9.87251560e-38    7.89313423e-36
-1.48900000e+02    1.01945785e-35    -1.98184336e-36    1.03220138e-37    8.31595525e-36
-1.48800000e+02    1.07344746e-35    -2.07951842e-36    1.07935963e-37    8.76289219e-36
-1.48700000e+02    1.13048772e-35    -2.18236672e-36    1.12884286e-37    9.23539473e-36
-1.48600000e+02    1.19076063e-35    -2.29068033e-36    1.18077422e-37    9.73500344e-36
-1.48500000e+02    1.25445960e-35    -2.40476877e-36    1.23528378e-37    1.02633556e-35
-1.48400000e+02    1.32179005e-35    -2.52496002e-36    1.29250896e-37    1.08221914e-35
-1.48300000e+02    1.39297029e-35    -2.65160167e-36    1.35259500e-37    1.14133607e-35
-1.48200000e+02    1.46823230e-35    -2.78506221e-36    1.41569538e-37    1.20388304e-35
-1.48100000e+02    1.54782263e-35    -2.92573224e-36    1.48197237e-37    1.27006913e-35
-1.48000000e+02    1.63200332e-35    -3.07402594e-36    1.55159749e-37    1.34011670e-35
-1.47900000e+02    1.72105293e-35    -3.23038249e-36    1.62475211e-37    1.41426220e-35
-1.47800000e+02    1.81526762e-35    -3.39526766e-36    1.70162805e-37    1.49275714e-35
-1.47700000e+02    1.91496226e-35    -3.56917549e-36    1.78242817e-37    1.57586899e-35
-1.47600000e+02    2.02047166e-35    -3.75263008e-36    1.86736708e-37    1.66388233e-35
-1.47500000e+02    2.13215189e-35    -3.94618744e-36    1.95667183e-37    1.75709987e-35
-1.47400000e+02    2.25038164e-35    -4.15043755e-36    2.05058268e-37    1.85584371e-35
-1.47300000e+02    2.37556371e-35    -4.36600653e-36    2.14935387e-37    1.96045659e-35
-1.47200000e+02    2.50812657e-35    -4.59355886e-36    2.25325454e-37    2.07130322e-35
-1.47100000e+02    2.64852606e-35    -4.83379989e-36    2.36256957e-37    2.18877177e-35
-1.47000000e+02    2.79724719e-35    -5.08747838e-36    2.47760058e-37    2.31327536e-35
-1.46900000e+02    2.95480601e-35    -5.35538932e-36    2.59866696e-37    2.44525375e-35
-1.46800000e+02    3.12175171e-35    -5.63837684e-36    2.72610696e-37    2.58517509e-35
-1.46700000e+02    3.29866872e-35    -5.93733736e-36    2.86027883e-37    2.73353777e-35
-1.46600000e+02    3.48617911e-35    -6.25322296e-36    3.00156210e-37    2.89087243e-35
-1.46500000e+02    3.68494501e-35    -6.58704489e-36    3.15035883e-37    3.05774410e-35
-1.46400000e+02    3.89567127e-35    -6.93987743e-36    3.30709509e-37    3.23475447e-35
-1.46300000e+02    4.11910828e-35    -7.31286190e-36    3.47222238e-37    3.42254432e-35
-1.46200000e+02    4.35605499e-35    -7.70721097e-36    3.64621924e-37    3.62179609e-35
-1.46100000e+02    4.60736208e-35    -8.12421327e-36    3.82959293e-37    3.83323668e-35
-1.46000000e+02    4.87393542e-35    -8.56523830e-36    4.02288124e-37    4.05764040e-35
-1.45900000e+02    5.15673970e-35    -9.03174163e-36    4.22665436e-37    4.29583208e-35
