Energy (meV)          FC          FCHT        HT        TOT
-1.43300000e+02    7.46331903e-05    -1.73263001e-06    1.09919477e-08    7.29115522e-05
-1.43200000e+02    7.48657022e-05    -1.73902736e-06    1.10296237e-08    7.31377045e-05
-1.43100000e+02    7.50977090e-05    -1.74540994e-06    1.10672203e-08    7.33633663e-05
-1.43000000e+02    7.53291987e-05    -1.75177744e-06    1.11047361e-08    7.35885260e-05
-1.42900000e+02    7.55601594e-05    -1.75812960e-06    1.11421691e-08    7.38131720e-05
-1.42800000e+02    7.57905793e-05    -1.76446611e-06    1.11795179e-08    7.40372927e-05
-1.42700000e+02    7.60204462e-05    -1.77078669e-06    1.12167807e-08    7.42608763e-05
-1.42600000e+02    7.62497485e-05    -1.77709105e-06    1.12539559e-08    7.44839114e-05
-1.42500000e+02    7.64784740e-05    -1.78337891e-06    1.12910418e-08    7.47063861e-05
-1.42400000e+02    7.67066108e-05    -1.78964998e-06    1.13280367e-08    7.49282889e-05
-1.42300000e+02    7.69341472e-05    -1.79590397e-06    1.13649391e-08    7.51496081e-05
-1.42200000e+02    7.71610710e-05    -1.80214059e-06    1.14017472e-08    7.53703321e-05
-1.42100000e+02    7.73873704e-05    -1.80835956e-06    1.14384595e-08    7.55904493e-05
-1.42000000e+02    7.76130335e-05    -1.81456059e-06    1.14750742e-08    7.58099479e-05
-1.41900000e+02    7.78380483e-05    -1.82074341e-06    1.15115899e-08    7.60288165e-05
-1.41800000e+02    7.80624030e-05    -1.82690771e-06    1.15480048e-08    7.62470433e-05
-1.41700000e+02    7.82860857e-05    -1.83305323e-06    1.15843173e-08    7.64646167e-05
-1.41600000e+02    7.85090844e-05    -1.83917967e-06    1.16205259e-08    7.66815253e-05
-1.41500000e+02    7.87313874e-05    -1.84528675e-06    1.16566289e-08    7.68977572e-05
-1.41400000e+02    7.89529827e-05    -1.85137420e-06    1.16926247e-08    7.71133011e-05
-1.41300000e+02    7.91738585e-05    -1.85744172e-06    1.17285118e-08    7.73281452e-05
-1.41200000e+02    7.93940029e-05    -1.86348904e-06    1.17642885e-08    7.75422782e-05
-1.41100000e+02    7.96134042e-05    -1.86951588e-06    1.17999533e-08    7.77556883e-05
-1.41000000e+02    7.98320506e-05    -1.87552196e-06    1.18355047e-08    7.79683642e-05
-1.40900000e+02    8.00499302e-05    -1.88150699e-06    1.18709410e-08    7.81802942e-05
-1.40800000e+02    8.02670314e-05    -1.88747071e-06    1.19062607e-08    7.83914669e-05
-1.40700000e+02    8.04833423e-05    -1.89341283e-06    1.19414623e-08    7.86018709e-05
-1.40600000e+02    8.06988512e-05    -1.89933308e-06    1.19765443e-08    7.88114947e-05
-1.40500000e+02    8.09135465e-05    -1.90523118e-06    1.20115051e-08    7.90203268e-05
-1.40400000e+02    8.11274164e-05    -1.91110686e-06    1.20463432e-08    7.92283559e-05
-1.40300000e+02    8.13404494e-05    -1.91695985e-06    1.20810571e-08    7.94355706e-05
-1.40200000e+02    8.15526337e-05    -1.92278987e-06    1.21156454e-08    7.96419595e-05
-1.40100000e+02    8.17639579e-05    -1.92859664e-06    1.21501065e-08    7.98475113e-05
-1.40000000e+02    8.19744103e-05    -1.93437991e-06    1.21844390e-08    8.00522148e-05
-1.39900000e+02    8.21839793e-05    -1.94013941e-06    1.22186413e-08    8.02560586e-05
-1.39800000e+02    8.23926536e-05    -1.94587485e-06    1.22527122e-08    8.04590314e-05
-1.39700000e+02    8.26004215e-05    -1.95158598e-06    1.22866501e-08    8.06611222e-05
-1.39600000e+02    8.28072718e-05    -1.95727254e-06    1.23204535e-08    8.08623197e-05
-1.39500000e+02    8.30131928e-05    -1.96293425e-06    1.23541212e-08    8.10626127e-05
-1.39400000e+02    8.32181734e-05    -1.96857086e-06    1.23876517e-08    8.12619902e-05
-1.39300000e+02    8.34222022e-05    -1.97418210e-06    1.24210436e-08    8.14604411e-05
-1.39200000e+02    8.36252678e-05    -1.97976772e-06    1.24542955e-08    8.16579544e-05
-1.39100000e+02    8.38273590e-05    -1.98532744e-06    1.24874061e-08    8.18545190e-05
-1.39000000e+02    8.40284647e-05    -1.99086103e-06    1.25203740e-08    8.20501240e-05
-1.38900000e+02    8.42285736e-05    -1.99636821e-06    1.25531980e-08    8.22447585e-05
-1.38800000e+02    8.44276745e-05    -2.00184875e-06    1.25858766e-08    8.24384117e-05
-1.38700000e+02    8.46257565e-05    -2.00730237e-06    1.26184087e-08    8.26310726e-05
-1.38600000e+02    8.48228085e-05    -2.01272884e-06    1.26507928e-08    8.28227305e-05
-1.38500000e+02    8.50188195e-05    -2.01812790e-06    1.26830278e-08    8.30133746e-05
-1.38400000e+02    8.52137785e-05    -2.02349931e-06    1.27151123e-08    8.32029943e-05
-1.38300000e+02    8.54076747e-05    -2.02884281e-06    1.27470452e-08    8.33915789e-05
-1.38200000e+02    8.56004972e-05    -2.03415817e-06    1.27788253e-08    8.35791179e-05
-1.38100000e+02    8.57922353e-05    -2.03944515e-06    1.28104512e-08    8.37656006e-05
-1.38000000e+02    8.59828781e-05    -2.04470349e-06    1.28419220e-08    8.39510165e-05
-1.37900000e+02    8.61724151e-05    -2.04993297e-06    1.28732362e-08    8.41353554e-05
-1.37800000e+02    8.63608356e-05    -2.05513334e-06    1.29043929e-08    8.43186066e-05
-1.37700000e+02    8.65481289e-05    -2.06030437e-06    1.29353909e-08    8.45007600e-05
-1.37600000e+02    8.67342848e-05    -2.06544583e-06    1.29662291e-08    8.46818052e-05
-1.37500000e+02    8.69192926e-05    -2.07055748e-06    1.29969064e-08    8.48617320e-05
-1.37400000e+02    8.71031419e-05    -2.07563910e-06    1.30274217e-08    8.50405303e-05
-1.37300000e+02    8.72858226e-05    -2.08069046e-06    1.30577740e-08    8.52181899e-05
-1.37200000e+02    8.74673242e-05    -2.08571134e-06    1.30879622e-08    8.53947009e-05
-1.37100000e+02    8.76476367e-05    -2.09070151e-06    1.31179854e-08    8.55700532e-05
-1.37000000e+02    8.78267498e-05    -2.09566075e-06    1.31478425e-08    8.57442369e-05
-1.36900000e+02    8.80046536e-05    -2.10058884e-06    1.31775325e-08    8.59172423e-05
-1.36800000e+02    8.81813379e-05    -2.10548557e-06    1.32070546e-08    8.60890594e-05
-1.36700000e+02    8.83567930e-05    -2.11035073e-06    1.32364078e-08    8.62596787e-05
-1.36600000e+02    8.85310089e-05    -2.11518410e-06    1.32655912e-08    8.64290904e-05
-1.36500000e+02    8.87039759e-05    -2.11998548e-06    1.32946040e-08    8.65972850e-05
-1.36400000e+02    8.88756843e-05    -2.12475465e-06    1.33234452e-08    8.67642531e-05
-1.36300000e+02    8.90461244e-05    -2.12949142e-06    1.33521140e-08    8.69299850e-05
-1.36200000e+02    8.92152866e-05    -2.13419559e-06    1.33806098e-08    8.70944716e-05
-1.36100000e+02    8.93831616e-05    -2.13886695e-06    1.34089316e-08    8.72577036e-05
-1.36000000e+02    8.95497399e-05    -2.14350531e-06    1.34370787e-08    8.74196716e-05
-1.35900000e+02    8.97150121e-05    -2.14811047e-06    1.34650504e-08    8.75803667e-05
-1.35800000e+02    8.98789691e-05    -2.15268225e-06    1.34928460e-08    8.77397797e-05
-1.35700000e+02    9.00416018e-05    -2.15722046e-06    1.35204648e-08    8.78979018e-05
-1.35600000e+02    9.02029009e-05    -2.16172492e-06    1.35479062e-08    8.80547239e-05
-1.35500000e+02    9.03628576e-05    -2.16619543e-06    1.35751695e-08    8.82102374e-05
-1.35400000e+02    9.05214630e-05    -2.17063183e-06    1.36022542e-08    8.83644335e-05
-1.35300000e+02    9.06787083e-05    -2.17503393e-06    1.36291597e-08    8.85173035e-05
-1.35200000e+02    9.08345846e-05    -2.17940156e-06    1.36558855e-08    8.86688390e-05
-1.35100000e+02    9.09890835e-05    -2.18373456e-06    1.36824311e-08    8.88190314e-05
-1.35000000e+02    9.11421964e-05    -2.18803275e-06    1.37087960e-08    8.89678724e-05
-1.34900000e+02    9.12939148e-05    -2.19229597e-06    1.37349797e-08    8.91153538e-05
-1.34800000e+02    9.14442304e-05    -2.19652407e-06    1.37609818e-08    8.92614673e-05
-1.34700000e+02    9.15931349e-05    -2.20071687e-06    1.37868021e-08    8.94062048e-05
-1.34600000e+02    9.17406202e-05    -2.20487424e-06    1.38124400e-08    8.95495584e-05
-1.34500000e+02    9.18866782e-05    -2.20899601e-06    1.38378954e-08    8.96915201e-05
-1.34400000e+02    9.20313010e-05    -2.21308204e-06    1.38631679e-08    8.98320821e-05
-1.34300000e+02    9.21744807e-05    -2.21713218e-06    1.38882572e-08    8.99712368e-05
-1.34200000e+02    9.23162096e-05    -2.22114630e-06    1.39131632e-08    9.01089765e-05
-1.34100000e+02    9.24564800e-05    -2.22512426e-06    1.39378857e-08    9.02452936e-05
-1.34000000e+02    9.25952843e-05    -2.22906591e-06    1.39624246e-08    9.03801809e-05
-1.33900000e+02    9.27326152e-05    -2.23297114e-06    1.39867797e-08    9.05136309e-05
-1.33800000e+02    9.28684653e-05    -2.23683982e-06    1.40109509e-08    9.06456365e-05
-1.33700000e+02    9.30028274e-05    -2.24067181e-06    1.40349382e-08    9.07761905e-05
-1.33600000e+02    9.31356944e-05    -2.24446701e-06    1.40587417e-08    9.09052861e-05
-1.33500000e+02    9.32670592e-05    -2.24822530e-06    1.40823614e-08    9.10329162e-05
-1.33400000e+02    9.33969150e-05    -2.25194656e-06    1.41057973e-08    9.11590742e-05
-1.33300000e+02    9.35252550e-05    -2.25563069e-06    1.41290495e-08    9.12837533e-05
-1.33200000e+02    9.36520725e-05    -2.25927759e-06    1.41521182e-08    9.14069470e-05
-1.33100000e+02    9.37773610e-05    -2.26288714e-06    1.41750037e-08    9.15286489e-05
-1.33000000e+02    9.39011142e-05    -2.26645926e-06    1.41977061e-08    9.16488526e-05
-1.32900000e+02    9.40233256e-05    -2.26999386e-06    1.42202257e-08    9.17675519e-05
-1.32800000e+02    9.41439890e-05    -2.27349085e-06    1.42425629e-08    9.18847408e-05
-1.32700000e+02    9.42630985e-05    -2.27695013e-06    1.42647180e-08    9.20004131e-05
-1.32600000e+02    9.43806481e-05    -2.28037164e-06    1.42866914e-08    9.21145632e-05
-1.32500000e+02    9.44966320e-05    -2.28375530e-06    1.43084835e-08    9.22271852e-05
-1.32400000e+02    9.46110444e-05    -2.28710104e-06    1.43300949e-08    9.23382734e-05
-1.32300000e+02    9.47238798e-05    -2.29040879e-06    1.43515261e-08    9.24478225e-05
-1.32200000e+02    9.48351328e-05    -2.29367848e-06    1.43727776e-08    9.25558271e-05
-1.32100000e+02    9.49447980e-05    -2.29691006e-06    1.43938501e-08    9.26622818e-05
-1.32000000e+02    9.50528703e-05    -2.30010348e-06    1.44147443e-08    9.27671816e-05
-1.31900000e+02    9.51593447e-05    -2.30325869e-06    1.44354609e-08    9.28705215e-05
-1.31800000e+02    9.52642161e-05    -2.30637564e-06    1.44560006e-08    9.29722965e-05
-1.31700000e+02    9.53674799e-05    -2.30945430e-06    1.44763643e-08    9.30725020e-05
-1.31600000e+02    9.54691314e-05    -2.31249462e-06    1.44965529e-08    9.31711334e-05
-1.31500000e+02    9.55691661e-05    -2.31549659e-06    1.45165672e-08    9.32681861e-05
-1.31400000e+02    9.56675796e-05    -2.31846016e-06    1.45364082e-08    9.33636558e-05
-1.31300000e+02    9.57643677e-05    -2.32138533e-06    1.45560769e-08    9.34575384e-05
-1.31200000e+02    9.58595262e-05    -2.32427207e-06    1.45755745e-08    9.35498297e-05
-1.31100000e+02    9.59530513e-05    -2.32712038e-06    1.45949020e-08    9.36405258e-05
-1.31000000e+02    9.60449392e-05    -2.32993026e-06    1.46140606e-08    9.37296230e-05
-1.30900000e+02    9.61351861e-05    -2.33270169e-06    1.46330515e-08    9.38171174e-05
-1.30800000e+02    9.62237885e-05    -2.33543469e-06    1.46518761e-08    9.39030057e-05
-1.30700000e+02    9.63107432e-05    -2.33812926e-06    1.46705355e-08    9.39872845e-05
-1.30600000e+02    9.63960468e-05    -2.34078542e-06    1.46890314e-08    9.40699504e-05
-1.30500000e+02    9.64796963e-05    -2.34340319e-06    1.47073650e-08    9.41510005e-05
-1.30400000e+02    9.65616888e-05    -2.34598259e-06    1.47255379e-08    9.42304317e-05
-1.30300000e+02    9.66420214e-05    -2.34852366e-06    1.47435517e-08    9.43082413e-05
-1.30200000e+02    9.67206917e-05    -2.35102644e-06    1.47614080e-08    9.43844266e-05
-1.30100000e+02    9.67976970e-05    -2.35349095e-06    1.47791084e-08    9.44589852e-05
-1.30000000e+02    9.68730351e-05    -2.35591726e-06    1.47966548e-08    9.45319145e-05
-1.29900000e+02    9.69467039e-05    -2.35830542e-06    1.48140488e-08    9.46032126e-05
-1.29800000e+02    9.70187014e-05    -2.36065548e-06    1.48312925e-08    9.46728772e-05
-1.29700000e+02    9.70890256e-05    -2.36296750e-06    1.48483876e-08    9.47409065e-05
-1.29600000e+02    9.71576750e-05    -2.36524156e-06    1.48653363e-08    9.48072988e-05
-1.29500000e+02    9.72246480e-05    -2.36747774e-06    1.48821405e-08    9.48720524e-05
-1.29400000e+02    9.72899433e-05    -2.36967612e-06    1.48988023e-08    9.49351660e-05
-1.29300000e+02    9.73535597e-05    -2.37183678e-06    1.49153241e-08    9.49966382e-05
-1.29200000e+02    9.74154961e-05    -2.37395981e-06    1.49317079e-08    9.50564680e-05
-1.29100000e+02    9.74757517e-05    -2.37604533e-06    1.49479561e-08    9.51146543e-05
-1.29000000e+02    9.75343258e-05    -2.37809343e-06    1.49640712e-08    9.51711964e-05
-1.28900000e+02    9.75912179e-05    -2.38010422e-06    1.49800555e-08    9.52260937e-05
-1.28800000e+02    9.76464276e-05    -2.38207783e-06    1.49959116e-08    9.52793456e-05
-1.28700000e+02    9.76999547e-05    -2.38401438e-06    1.50116420e-08    9.53309520e-05
-1.28600000e+02    9.77517993e-05    -2.38591400e-06    1.50272495e-08    9.53809125e-05
-1.28500000e+02    9.78019615e-05    -2.38777683e-06    1.50427368e-08    9.54292274e-05
-1.28400000e+02    9.78504416e-05    -2.38960301e-06    1.50581067e-08    9.54758967e-05
-1.28300000e+02    9.78972401e-05    -2.39139270e-06    1.50733620e-08    9.55209208e-05
-1.28200000e+02    9.79423578e-05    -2.39314605e-06    1.50885058e-08    9.55643003e-05
-1.28100000e+02    9.79857955e-05    -2.39486322e-06    1.51035410e-08    9.56060359e-05
-1.28000000e+02    9.80275543e-05    -2.39654438e-06    1.51184707e-08    9.56461284e-05
-1.27900000e+02    9.80676353e-05    -2.39818972e-06    1.51332982e-08    9.56845789e-05
-1.27800000e+02    9.81060400e-05    -2.39979942e-06    1.51480268e-08    9.57213886e-05
-1.27700000e+02    9.81427700e-05    -2.40137366e-06    1.51626596e-08    9.57565590e-05
-1.27600000e+02    9.81778270e-05    -2.40291265e-06    1.51772003e-08    9.57900916e-05
-1.27500000e+02    9.82112131e-05    -2.40441659e-06    1.51916522e-08    9.58219882e-05
-1.27400000e+02    9.82429303e-05    -2.40588569e-06    1.52060190e-08    9.58522506e-05
-1.27300000e+02    9.82729810e-05    -2.40732017e-06    1.52203043e-08    9.58808811e-05
-1.27200000e+02    9.83013677e-05    -2.40872027e-06    1.52345118e-08    9.59078820e-05
-1.27100000e+02    9.83280932e-05    -2.41008621e-06    1.52486455e-08    9.59332556e-05
-1.27000000e+02    9.83531602e-05    -2.41141823e-06    1.52627092e-08    9.59570047e-05
-1.26900000e+02    9.83765720e-05    -2.41271658e-06    1.52767069e-08    9.59791322e-05
-1.26800000e+02    9.83983318e-05    -2.41398152e-06    1.52906428e-08    9.59996409e-05
-1.26700000e+02    9.84184431e-05    -2.41521332e-06    1.53045209e-08    9.60185343e-05
-1.26600000e+02    9.84369096e-05    -2.41641224e-06    1.53183456e-08    9.60358157e-05
-1.26500000e+02    9.84537351e-05    -2.41757856e-06    1.53321213e-08    9.60514886e-05
-1.26400000e+02    9.84689237e-05    -2.41871257e-06    1.53458523e-08    9.60655570e-05
-1.26300000e+02    9.84824797e-05    -2.41981456e-06    1.53595432e-08    9.60780247e-05
-1.26200000e+02    9.84944075e-05    -2.42088484e-06    1.53731986e-08    9.60888959e-05
-1.26100000e+02    9.85047119e-05    -2.42192371e-06    1.53868234e-08    9.60981750e-05
-1.26000000e+02    9.85133976e-05    -2.42293150e-06    1.54004222e-08    9.61058666e-05
-1.25900000e+02    9.85204699e-05    -2.42390853e-06    1.54140000e-08    9.61119753e-05
