Energy (meV)          FC          FCHT        HT        TOT
-1.50000000e+02    2.48315615e-04    -4.72509111e-06    3.32236603e-08    2.43623747e-04
-1.49900000e+02    2.49132935e-04    -4.75256502e-06    3.33709378e-08    2.44413741e-04
-1.49800000e+02    2.49951467e-04    -4.78004858e-06    3.35183441e-08    2.45204937e-04
-1.49700000e+02    2.50771174e-04    -4.80754081e-06    3.36658736e-08    2.45997299e-04
-1.49600000e+02    2.51592019e-04    -4.83504076e-06    3.38135205e-08    2.46790792e-04
-1.49500000e+02    2.52413968e-04    -4.86254747e-06    3.39612790e-08    2.47585382e-04
-1.49400000e+02    2.53236984e-04    -4.89005995e-06    3.41091433e-08    2.48381033e-04
-1.49300000e+02    2.54061029e-04    -4.91757723e-06    3.42571076e-08    2.49177709e-04
-1.49200000e+02    2.54886068e-04    -4.94509832e-06    3.44051661e-08    2.49975374e-04
-1.49100000e+02    2.55712062e-04    -4.97262224e-06    3.45533127e-08    2.50773993e-04
-1.49000000e+02    2.56538975e-04    -5.00014799e-06    3.47015416e-08    2.51573529e-04
-1.48900000e+02    2.57366769e-04    -5.02767458e-06    3.48498468e-08    2.52373944e-04
-1.48800000e+02    2.58195406e-04    -5.05520100e-06    3.49982223e-08    2.53175203e-04
-1.48700000e+02    2.59024848e-04    -5.08272625e-06    3.51466621e-08    2.53977269e-04
-1.48600000e+02    2.59855057e-04    -5.11024932e-06    3.52951602e-08    2.54780103e-04
-1.48500000e+02    2.60685994e-04    -5.13776919e-06    3.54437104e-08    2.55583669e-04
-1.48400000e+02    2.61517621e-04    -5.16528485e-06    3.55923066e-08    2.56387929e-04
-1.48300000e+02    2.62349898e-04    -5.19279526e-06    3.57409428e-08    2.57192844e-04
-1.48200000e+02    2.63182786e-04    -5.22029940e-06    3.58896127e-08    2.57998377e-04
-1.48100000e+02    2.64016246e-04    -5.24779624e-06    3.60383101e-08    2.58804488e-04
-1.48000000e+02    2.64850239e-04    -5.27528474e-06    3.61870289e-08    2.59611141e-04
-1.47900000e+02    2.65684723e-04    -5.30276387e-06    3.63357628e-08    2.60418295e-04
-1.47800000e+02    2.66519660e-04    -5.33023257e-06    3.64845055e-08    2.61225912e-04
-1.47700000e+02    2.67355008e-04    -5.35768981e-06    3.66332507e-08    2.62033952e-04
-1.47600000e+02    2.68190729e-04    -5.38513452e-06    3.67819922e-08    2.62842376e-04
-1.47500000e+02    2.69026780e-04    -5.41256565e-06    3.69307235e-08    2.63651145e-04
-1.47400000e+02    2.69863120e-04    -5.43998215e-06    3.70794383e-08    2.64460218e-04
-1.47300000e+02    2.70699710e-04    -5.46738295e-06    3.72281302e-08    2.65269555e-04
-1.47200000e+02    2.71536508e-04    -5.49476699e-06    3.73767928e-08    2.66079117e-04
-1.47100000e+02    2.72373471e-04    -5.52213319e-06    3.75254197e-08    2.66888863e-04
-1.47000000e+02    2.73210559e-04    -5.54948048e-06    3.76740044e-08    2.67698752e-04
-1.46900000e+02    2.74047729e-04    -5.57680779e-06    3.78225404e-08    2.68508744e-04
-1.46800000e+02    2.74884940e-04    -5.60411404e-06    3.79710212e-08    2.69318797e-04
-1.46700000e+02    2.75722150e-04    -5.63139814e-06    3.81194404e-08    2.70128871e-04
