Energy (meV)          FC          FCHT        HT        TOT
-1.50000000e+02    1.43552422e-07    -3.52273738e-09    2.18052840e-11    1.40051490e-07
-1.49900000e+02    1.44246188e-07    -3.54002209e-09    2.19128397e-11    1.40728079e-07
-1.49800000e+02    1.44940481e-07    -3.55732206e-09    2.20205282e-11    1.41405179e-07
-1.49700000e+02    1.45635277e-07    -3.57463675e-09    2.21283474e-11    1.42082769e-07
-1.49600000e+02    1.46330553e-07    -3.59196564e-09    2.22362951e-11    1.42760823e-07
-1.49500000e+02    1.47026283e-07    -3.60930822e-09    2.23443692e-11    1.43439319e-07
-1.49400000e+02    1.47722444e-07    -3.62666394e-09    2.24525676e-11    1.44118233e-07
-1.49300000e+02    1.48419012e-07    -3.64403229e-09    2.25608882e-11    1.44797541e-07
-1.49200000e+02    1.49115961e-07    -3.66141275e-09    2.26693290e-11    1.45477218e-07
-1.49100000e+02    1.49813268e-07    -3.67880477e-09    2.27778880e-11    1.46157241e-07
-1.49000000e+02    1.50510907e-07    -3.69620784e-09    2.28865631e-11    1.46837585e-07
-1.48900000e+02    1.51208854e-07    -3.71362144e-09    2.29953525e-11    1.47518227e-07
-1.48800000e+02    1.51907083e-07    -3.73104503e-09    2.31042543e-11    1.48199142e-07
-1.48700000e+02    1.52605571e-07    -3.74847809e-09    2.32132664e-11    1.48880306e-07
-1.48600000e+02    1.53304292e-07    -3.76592010e-09    2.33223873e-11    1.49561694e-07
-1.48500000e+02    1.54003220e-07    -3.78337053e-09    2.34316149e-11    1.50243282e-07
-1.48400000e+02    1.54702332e-07    -3.80082885e-09    2.35409476e-11    1.50925044e-07
-1.48300000e+02    1.55401601e-07    -3.81829456e-09    2.36503837e-11    1.51606957e-07
-1.48200000e+02    1.56101003e-07    -3.83576711e-09    2.37599214e-11    1.52288996e-07
-1.48100000e+02    1.56800512e-07    -3.85324600e-09    2.38695593e-11    1.52971136e-07
-1.48000000e+02    1.57500103e-07    -3.87073071e-09    2.39792956e-11    1.53653351e-07
-1.47900000e+02    1.58199750e-07    -3.88822071e-09    2.40891290e-11    1.54335618e-07
-1.47800000e+02    1.58899428e-07    -3.90571550e-09    2.41990578e-11    1.55017912e-07
-1.47700000e+02    1.59599112e-07    -3.92321455e-09    2.43090808e-11    1.55700206e-07
-1.47600000e+02    1.60298775e-07    -3.94071737e-09    2.44191966e-11    1.56382477e-07
-1.47500000e+02    1.60998393e-07    -3.95822343e-09    2.45294038e-11    1.57064699e-07
-1.47400000e+02    1.61697940e-07    -3.97573223e-09    2.46397012e-11    1.57746847e-07
-1.47300000e+02    1.62397390e-07    -3.99324327e-09    2.47500877e-11    1.58428897e-07
-1.47200000e+02    1.63096717e-07    -4.01075604e-09    2.48605622e-11    1.59110822e-07
-1.47100000e+02    1.63795897e-07    -4.02827004e-09    2.49711235e-11    1.59792598e-07
-1.47000000e+02    1.64494902e-07    -4.04578479e-09    2.50817709e-11    1.60474199e-07
-1.46900000e+02    1.65193708e-07    -4.06329978e-09    2.51925032e-11    1.61155601e-07
-1.46800000e+02    1.65892289e-07    -4.08081452e-09    2.53033198e-11    1.61836778e-07
-1.46700000e+02    1.66590620e-07    -4.09832854e-09    2.54142199e-11    1.62517705e-07
-1.46600000e+02    1.67288673e-07    -4.11584134e-09    2.55252028e-11    1.63198357e-07
