Energy (meV)          FC          FCHT        HT        TOT
-1.50000000e+02    5.19111516e-15    -2.97431776e-16    4.40512039e-18    4.89808851e-15
-1.49900000e+02    5.33502883e-15    -3.06082884e-16    4.53589486e-18    5.03348184e-15
-1.49800000e+02    5.48303598e-15    -3.14982458e-16    4.67044014e-18    5.17272396e-15
-1.49700000e+02    5.63524952e-15    -3.24137354e-16    4.80886032e-18    5.31592103e-15
-1.49600000e+02    5.79178532e-15    -3.33554610e-16    4.95126226e-18    5.46318197e-15
-1.49500000e+02    5.95276229e-15    -3.43241449e-16    5.09775558e-18    5.61461859e-15
-1.49400000e+02    6.11830242e-15    -3.53205280e-16    5.24845277e-18    5.77034559e-15
-1.49300000e+02    6.28853091e-15    -3.63453708e-16    5.40346926e-18    5.93048067e-15
-1.49200000e+02    6.46357622e-15    -3.73994533e-16    5.56292350e-18    6.09514461e-15
-1.49100000e+02    6.64357012e-15    -3.84835762e-16    5.72693699e-18    6.26446130e-15
-1.49000000e+02    6.82864785e-15    -3.95985606e-16    5.89563439e-18    6.43855788e-15
-1.48900000e+02    7.01894811e-15    -4.07452490e-16    6.06914361e-18    6.61756477e-15
-1.48800000e+02    7.21461323e-15    -4.19245058e-16    6.24759586e-18    6.80161577e-15
-1.48700000e+02    7.41578918e-15    -4.31372176e-16    6.43112573e-18    6.99084813e-15
-1.48600000e+02    7.62262574e-15    -4.43842941e-16    6.61987129e-18    7.18540267e-15
-1.48500000e+02    7.83527651e-15    -4.56666680e-16    6.81397416e-18    7.38542381e-15
-1.48400000e+02    8.05389907e-15    -4.69852965e-16    7.01357961e-18    7.59105968e-15
-1.48300000e+02    8.27865502e-15    -4.83411610e-16    7.21883664e-18    7.80246224e-15
-1.48200000e+02    8.50971012e-15    -4.97352683e-16    7.42989806e-18    8.01978734e-15
-1.48100000e+02    8.74723439e-15    -5.11686507e-16    7.64692060e-18    8.24319480e-15
-1.48000000e+02    8.99140216e-15    -5.26423671e-16    7.87006499e-18    8.47284856e-15
-1.47900000e+02    9.24239224e-15    -5.41575034e-16    8.09949606e-18    8.70891670e-15
-1.47800000e+02    9.50038797e-15    -5.57151731e-16    8.33538284e-18    8.95157163e-15
-1.47700000e+02    9.76557739e-15    -5.73165181e-16    8.57789865e-18    9.20099010e-15
-1.47600000e+02    1.00381533e-14    -5.89627090e-16    8.82722122e-18    9.45735340e-15
-1.47500000e+02    1.03183133e-14    -6.06549466e-16    9.08353279e-18    9.72084736e-15
-1.47400000e+02    1.06062602e-14    -6.23944616e-16    9.34702021e-18    9.99166257e-15
-1.47300000e+02    1.09022017e-14    -6.41825161e-16    9.61787503e-18    1.02699944e-14
-1.47200000e+02    1.12063509e-14    -6.60204038e-16    9.89629365e-18    1.05560432e-14
-1.47100000e+02    1.15189262e-14    -6.79094513e-16    1.01824774e-17    1.08500142e-14
-1.47000000e+02    1.18401516e-14    -6.98510184e-16    1.04766328e-17    1.11521181e-14
-1.46900000e+02    1.21702566e-14    -7.18464988e-16    1.07789713e-17    1.14625706e-14
-1.46800000e+02    1.25094764e-14    -7.38973216e-16    1.10897098e-17    1.17815929e-14
-1.46700000e+02    1.28580523e-14    -7.60049512e-16    1.14090707e-17    1.21094118e-14
-1.46600000e+02    1.32162314e-14    -7.81708891e-16    1.17372818e-17    1.24462598e-14
-1.46500000e+02    1.35842672e-14    -8.03966737e-16    1.20745768e-17    1.27923751e-14
-1.46400000e+02    1.39624193e-14    -8.26838821e-16    1.24211949e-17    1.31480017e-14
-1.46300000e+02    1.43509539e-14    -8.50341305e-16    1.27773815e-17    1.35133900e-14
-1.46200000e+02    1.47501438e-14    -8.74490752e-16    1.31433880e-17    1.38887964e-14
