-0.1       0.00690640   0.03128318   0.05300303   0.10865155
 0.0       0.00691486   0.03374601   0.05156023   0.10756248
 0.1       0.00690365   0.03610084   0.05011308   0.10657533
 0.2       0.00693418   0.03840146   0.04862049   0.10572897
 0.3       0.00691594   0.04049635   0.04710593   0.10505757
 0.4       0.00689517   0.04234350   0.04558125   0.10461595
 0.5       0.00693015   0.04407533   0.04407545   0.10446403
 0.6       0.00694357   0.04255510   0.04546489   0.10463745
 0.7       0.00693004   0.04101198   0.04646037   0.10519106
 0.8       0.00694388   0.03952271   0.04709584   0.10615673
 0.9       0.00694140   0.03798470   0.04735331   0.10756388
 1.0       0.00695277   0.03650253   0.04723958   0.10939939
 1.1       0.00692243   0.03498244   0.04664207   0.11162868
