Energy (meV)          FC          FCHT        HT        TOT
-1.43300000e+02    1.50307867e-09    -3.87574418e-11    2.64906569e-13    1.46458613e-09
-1.43200000e+02    1.50948359e-09    -3.89630124e-11    2.66896304e-13    1.47078747e-09
-1.43100000e+02    1.51591161e-09    -3.91704130e-11    2.68916452e-13    1.47701012e-09
-1.43000000e+02    1.52236337e-09    -3.93796908e-11    2.70967785e-13    1.48325465e-09
-1.42900000e+02    1.52883951e-09    -3.95908941e-11    2.73051089e-13    1.48952167e-09
-1.42800000e+02    1.53534070e-09    -3.98040724e-11    2.75167172e-13    1.49581179e-09
-1.42700000e+02    1.54186763e-09    -4.00192766e-11    2.77316861e-13    1.50212567e-09
-1.42600000e+02    1.54842102e-09    -4.02365590e-11    2.79501005e-13    1.50846396e-09
-1.42500000e+02    1.55500160e-09    -4.04559731e-11    2.81720471e-13    1.51482735e-09
-1.42400000e+02    1.56161014e-09    -4.06775740e-11    2.83976148e-13    1.52121654e-09
-1.42300000e+02    1.56824740e-09    -4.09014179e-11    2.86268947e-13    1.52763225e-09
-1.42200000e+02    1.57491420e-09    -4.11275628e-11    2.88599801e-13    1.53407524e-09
-1.42100000e+02    1.58161137e-09    -4.13560678e-11    2.90969664e-13    1.54054628e-09
-1.42000000e+02    1.58833977e-09    -4.15869940e-11    2.93379515e-13    1.54704615e-09
-1.41900000e+02    1.59510027e-09    -4.18204035e-11    2.95830356e-13    1.55357569e-09
-1.41800000e+02    1.60189378e-09    -4.20563603e-11    2.98323211e-13    1.56013574e-09
-1.41700000e+02    1.60872123e-09    -4.22949301e-11    3.00859130e-13    1.56672716e-09
-1.41600000e+02    1.61558359e-09    -4.25361800e-11    3.03439188e-13    1.57335084e-09
-1.41500000e+02    1.62248183e-09    -4.27801788e-11    3.06064485e-13    1.58000772e-09
-1.41400000e+02    1.62941699e-09    -4.30269972e-11    3.08736148e-13    1.58669873e-09
-1.41300000e+02    1.63639010e-09    -4.32767075e-11    3.11455329e-13    1.59342485e-09
-1.41200000e+02    1.64340224e-09    -4.35293839e-11    3.14223207e-13    1.60018708e-09
-1.41100000e+02    1.65045452e-09    -4.37851023e-11    3.17040992e-13    1.60698646e-09
-1.41000000e+02    1.65754806e-09    -4.40439406e-11    3.19909918e-13    1.61382403e-09
-1.40900000e+02    1.66468405e-09    -4.43059784e-11    3.22831250e-13    1.62070090e-09
-1.40800000e+02    1.67186367e-09    -4.45712975e-11    3.25806282e-13    1.62761818e-09
-1.40700000e+02    1.67908817e-09    -4.48399816e-11    3.28836339e-13    1.63457702e-09
-1.40600000e+02    1.68635880e-09    -4.51121163e-11    3.31922775e-13    1.64157861e-09
-1.40500000e+02    1.69367687e-09    -4.53877893e-11    3.35066976e-13    1.64862415e-09
-1.40400000e+02    1.70104372e-09    -4.56670907e-11    3.38270361e-13    1.65571490e-09
-1.40300000e+02    1.70846071e-09    -4.59501123e-11    3.41534381e-13    1.66285213e-09
-1.40200000e+02    1.71592926e-09    -4.62369485e-11    3.44860519e-13    1.67003717e-09
-1.40100000e+02    1.72345081e-09    -4.65276957e-11    3.48250294e-13    1.67727136e-09
-1.40000000e+02    1.73102684e-09    -4.68224527e-11    3.51705259e-13    1.68455609e-09
-1.39900000e+02    1.73865888e-09    -4.71213205e-11    3.55227001e-13    1.69189278e-09
-1.39800000e+02    1.74634848e-09    -4.74244027e-11    3.58817145e-13    1.69928289e-09
-1.39700000e+02    1.75409725e-09    -4.77318052e-11    3.62477352e-13    1.70672792e-09
-1.39600000e+02    1.76190684e-09    -4.80436364e-11    3.66209320e-13    1.71422941e-09
-1.39500000e+02    1.76977892e-09    -4.83600073e-11    3.70014787e-13    1.72178893e-09
-1.39400000e+02    1.77771523e-09    -4.86810314e-11    3.73895528e-13    1.72940810e-09
-1.39300000e+02    1.78571754e-09    -4.90068248e-11    3.77853360e-13    1.73708857e-09
-1.39200000e+02    1.79378767e-09    -4.93375064e-11    3.81890139e-13    1.74483205e-09
-1.39100000e+02    1.80192747e-09    -4.96731978e-11    3.86007763e-13    1.75264028e-09
-1.39000000e+02    1.81013886e-09    -5.00140234e-11    3.90208172e-13    1.76051505e-09
-1.38900000e+02    1.81842380e-09    -5.03601104e-11    3.94493352e-13    1.76845818e-09
-1.38800000e+02    1.82678428e-09    -5.07115891e-11    3.98865328e-13    1.77647156e-09
-1.38700000e+02    1.83522237e-09    -5.10685925e-11    4.03326174e-13    1.78455710e-09
-1.38600000e+02    1.84374016e-09    -5.14312569e-11    4.07878007e-13    1.79271678e-09
-1.38500000e+02    1.85233982e-09    -5.17997213e-11    4.12522994e-13    1.80095262e-09
-1.38400000e+02    1.86102355e-09    -5.21741284e-11    4.17263346e-13    1.80926669e-09
-1.38300000e+02    1.86979361e-09    -5.25546236e-11    4.22101325e-13    1.81766109e-09
-1.38200000e+02    1.87865232e-09    -5.29413558e-11    4.27039241e-13    1.82613801e-09
-1.38100000e+02    1.88760205e-09    -5.33344773e-11    4.32079455e-13    1.83469966e-09
-1.38000000e+02    1.89664523e-09    -5.37341437e-11    4.37224380e-13    1.84334831e-09
-1.37900000e+02    1.90578435e-09    -5.41405140e-11    4.42476481e-13    1.85208631e-09
-1.37800000e+02    1.91502194e-09    -5.45537508e-11    4.47838277e-13    1.86091602e-09
-1.37700000e+02    1.92436061e-09    -5.49740205e-11    4.53312339e-13    1.86983990e-09
-1.37600000e+02    1.93380303e-09    -5.54014928e-11    4.58901296e-13    1.87886044e-09
-1.37500000e+02    1.94335193e-09    -5.58363414e-11    4.64607834e-13    1.88798020e-09
-1.37400000e+02    1.95301009e-09    -5.62787438e-11    4.70434694e-13    1.89720178e-09
-1.37300000e+02    1.96278038e-09    -5.67288813e-11    4.76384679e-13    1.90652788e-09
-1.37200000e+02    1.97266570e-09    -5.71869391e-11    4.82460648e-13    1.91596123e-09
-1.37100000e+02    1.98266906e-09    -5.76531066e-11    4.88665525e-13    1.92550462e-09
-1.37000000e+02    1.99279351e-09    -5.81275773e-11    4.95002295e-13    1.93516094e-09
-1.36900000e+02    2.00304218e-09    -5.86105488e-11    5.01474003e-13    1.94493310e-09
-1.36800000e+02    2.01341825e-09    -5.91022230e-11    5.08083764e-13    1.95482411e-09
-1.36700000e+02    2.02392501e-09    -5.96028061e-11    5.14834755e-13    1.96483704e-09
-1.36600000e+02    2.03456580e-09    -6.01125089e-11    5.21730221e-13    1.97497502e-09
-1.36500000e+02    2.04534403e-09    -6.06315464e-11    5.28773475e-13    1.98524126e-09
-1.36400000e+02    2.05626320e-09    -6.11601386e-11    5.35967901e-13    1.99563903e-09
-1.36300000e+02    2.06732689e-09    -6.16985098e-11    5.43316951e-13    2.00617170e-09
-1.36200000e+02    2.07853874e-09    -6.22468894e-11    5.50824152e-13    2.01684268e-09
-1.36100000e+02    2.08990249e-09    -6.28055115e-11    5.58493103e-13    2.02765548e-09
-1.36000000e+02    2.10142196e-09    -6.33746150e-11    5.66327477e-13    2.03861367e-09
-1.35900000e+02    2.11310104e-09    -6.39544441e-11    5.74331026e-13    2.04972093e-09
-1.35800000e+02    2.12494372e-09    -6.45452481e-11    5.82507576e-13    2.06098098e-09
-1.35700000e+02    2.13695407e-09    -6.51472813e-11    5.90861035e-13    2.07239765e-09
-1.35600000e+02    2.14913624e-09    -6.57608035e-11    5.99395389e-13    2.08397484e-09
-1.35500000e+02    2.16149450e-09    -6.63860800e-11    6.08114709e-13    2.09571653e-09
-1.35400000e+02    2.17403318e-09    -6.70233814e-11    6.17023146e-13    2.10762682e-09
-1.35300000e+02    2.18675671e-09    -6.76729840e-11    6.26124939e-13    2.11970985e-09
-1.35200000e+02    2.19966963e-09    -6.83351700e-11    6.35424410e-13    2.13196988e-09
-1.35100000e+02    2.21277656e-09    -6.90102270e-11    6.44925972e-13    2.14441126e-09
-1.35000000e+02    2.22608223e-09    -6.96984490e-11    6.54634127e-13    2.15703841e-09
-1.34900000e+02    2.23959146e-09    -7.04001357e-11    6.64553467e-13    2.16985588e-09
-1.34800000e+02    2.25330918e-09    -7.11155931e-11    6.74688677e-13    2.18286827e-09
-1.34700000e+02    2.26724042e-09    -7.18451334e-11    6.85044538e-13    2.19608033e-09
-1.34600000e+02    2.28139032e-09    -7.25890750e-11    6.95625926e-13    2.20949687e-09
-1.34500000e+02    2.29576412e-09    -7.33477431e-11    7.06437814e-13    2.22312282e-09
-1.34400000e+02    2.31036718e-09    -7.41214693e-11    7.17485277e-13    2.23696319e-09
-1.34300000e+02    2.32520496e-09    -7.49105917e-11    7.28773489e-13    2.25102314e-09
-1.34200000e+02    2.34028303e-09    -7.57154557e-11    7.40307728e-13    2.26530788e-09
-1.34100000e+02    2.35560710e-09    -7.65364131e-11    7.52093377e-13    2.27982278e-09
-1.34000000e+02    2.37118297e-09    -7.73738232e-11    7.64135925e-13    2.29457328e-09
-1.33900000e+02    2.38701658e-09    -7.82280522e-11    7.76440972e-13    2.30956496e-09
-1.33800000e+02    2.40311396e-09    -7.90994737e-11    7.89014225e-13    2.32480350e-09
-1.33700000e+02    2.41948131e-09    -7.99884688e-11    8.01861505e-13    2.34029470e-09
-1.33600000e+02    2.43612491e-09    -8.08954259e-11    8.14988749e-13    2.35604448e-09
-1.33500000e+02    2.45305120e-09    -8.18207415e-11    8.28402007e-13    2.37205886e-09
-1.33400000e+02    2.47026674e-09    -8.27648196e-11    8.42107450e-13    2.38834402e-09
-1.33300000e+02    2.48777820e-09    -8.37280722e-11    8.56111369e-13    2.40490624e-09
-1.33200000e+02    2.50559243e-09    -8.47109194e-11    8.70420175e-13    2.42175193e-09
-1.33100000e+02    2.52371637e-09    -8.57137897e-11    8.85040406e-13    2.43888762e-09
-1.33000000e+02    2.54215713e-09    -8.67371198e-11    8.99978726e-13    2.45631999e-09
-1.32900000e+02    2.56092195e-09    -8.77813548e-11    9.15241927e-13    2.47405583e-09
-1.32800000e+02    2.58001820e-09    -8.88469487e-11    9.30836932e-13    2.49210209e-09
-1.32700000e+02    2.59945343e-09    -8.99343641e-11    9.46770798e-13    2.51046584e-09
