Si            0.0669721929        0.1340434694        0.4377823674
Si            0.0669193199        0.3329025495        0.4377600610
Si            0.0667867823        0.5333818316        0.4379042688
Si            0.0666601614        0.7333367381        0.4378987069
Si            0.0667876649        0.9334173405        0.4379229801
Si            0.2665995843        0.1331888906        0.4379206520
Si            0.2658609050        0.3329357895        0.4341795945
Si            0.2665942108        0.5334021345        0.4379061294
Si            0.2666124534        0.7332091581        0.4378997548
Si            0.2666055342        0.9334033093        0.4379141912
Si            0.4670867959        0.1340130312        0.4377556823
Si            0.4670746892        0.3329271993        0.4341578096
Si            0.4671103523        0.5341581239        0.4341987841
Si            0.4670831676        0.7330653736        0.4377520718
Si            0.4668598057        0.9334259705        0.4377387513
Si            0.6666555406        0.1333392468        0.4380731219
Si            0.6659794100        0.3329115770        0.4377557047
Si            0.6668197644        0.5334011414        0.4379178226
Si            0.6660229060        0.7330965308        0.4377784727
Si            0.6666687029        0.9333204868        0.4380822546
Si            0.8666815244        0.1333349612        0.4380838842
Si            0.8665576391        0.3331320509        0.4377386008
Si            0.8665913653        0.5333773839        0.4379017606
Si            0.8666010071        0.7332195033        0.4379173891
Si            0.8666206693        0.9334715837        0.4377693074
Si            0.1336301736        0.0672233442        0.9375240631
Si            0.1335834841        0.2667892724        0.9384151136
Si            0.1336419279        0.4664234027        0.9374769928
Si            0.1334024283        0.6665925748        0.9377175229
Si            0.1333970313        0.8668057988        0.9377286498
Si            0.3335687307        0.0672146799        0.9375150887
Si            0.3335204958        0.2670521752        0.9370136601
Si            0.3335252962        0.4664694894        0.9369956791
Si            0.3335843279        0.6663626648        0.9374711673
Si            0.3334179676        0.8667018673        0.9379306975
Si            0.5333341399        0.0666793210        0.9380908066
Si            0.5332024126        0.2667883801        0.9383989907
Si            0.5329370259        0.4664640581        0.9369996209
Si            0.5331989758        0.6664077725        0.9384048405
Si            0.5333259162        0.8666460794        0.9380863945
Si            0.7333364568        0.0666586488        0.9381043536
Si            0.7333149783        0.2666592044        0.9380885820
Si            0.7327744296        0.4664140113        0.9375050869
Si            0.7327865264        0.6663715860        0.9375218833
Si            0.7333209270        0.8666557077        0.9381013357
Si            0.9333482978        0.0666712358        0.9381053153
Si            0.9333433858        0.2666523315        0.9380994858
Si            0.9332822863        0.4665735845        0.9379341139
Si            0.9331946433        0.6666048058        0.9377310598
Si            0.9333004879        0.8667298837        0.9379486179
Si            0.0000134124       -0.0000145201        0.1876219741
Si           -0.0000433545        0.1999709207        0.1875652551
Si            0.0000033161        0.4000209211        0.1875981468
Si           -0.0000055240        0.6000020575        0.1874836178
Si            0.0000020496        0.7999965145        0.1874886724
Si            0.1999446210       -0.0000959331        0.1872452890
Si            0.1997168870        0.1994213027        0.1873286053
Si            0.1997194407        0.4002945117        0.1873129543
Si            0.1999526273        0.6000422878        0.1872362160
Si            0.1999865675        0.7999892539        0.1874818806
Si            0.3999741891       -0.0000095029        0.1876020250
Si            0.3997051335        0.1994250890        0.1873133022
Si            0.4000037883        0.3999962870        0.1856440488
Si            0.3997003579        0.6002741813        0.1873132967
Si            0.3999673156        0.7999796626        0.1875968065
