Energy (meV)          FC          FCHT        HT        TOT
-1.50000000e+02    2.15509972e-04    -4.18584550e-06    2.90995774e-08    2.11353226e-04
-1.49900000e+02    2.16242888e-04    -4.20982077e-06    2.92296498e-08    2.12062297e-04
-1.49800000e+02    2.16976827e-04    -4.23380507e-06    2.93598332e-08    2.12772382e-04
-1.49700000e+02    2.17711760e-04    -4.25779755e-06    2.94901225e-08    2.13483453e-04
-1.49600000e+02    2.18447654e-04    -4.28179736e-06    2.96205127e-08    2.14195477e-04
-1.49500000e+02    2.19184476e-04    -4.30580367e-06    2.97509986e-08    2.14908424e-04
-1.49400000e+02    2.19922196e-04    -4.32981560e-06    2.98815752e-08    2.15622262e-04
-1.49300000e+02    2.20660780e-04    -4.35383231e-06    3.00122373e-08    2.16336960e-04
-1.49200000e+02    2.21400196e-04    -4.37785293e-06    3.01429799e-08    2.17052487e-04
-1.49100000e+02    2.22140412e-04    -4.40187660e-06    3.02737977e-08    2.17768809e-04
-1.49000000e+02    2.22881394e-04    -4.42590244e-06    3.04046855e-08    2.18485896e-04
-1.48900000e+02    2.23623109e-04    -4.44992957e-06    3.05356380e-08    2.19203715e-04
-1.48800000e+02    2.24365523e-04    -4.47395712e-06    3.06666501e-08    2.19922233e-04
-1.48700000e+02    2.25108604e-04    -4.49798421e-06    3.07977165e-08    2.20641417e-04
-1.48600000e+02    2.25852317e-04    -4.52200995e-06    3.09288317e-08    2.21361235e-04
-1.48500000e+02    2.26596628e-04    -4.54603344e-06    3.10599906e-08    2.22081654e-04
-1.48400000e+02    2.27341503e-04    -4.57005379e-06    3.11911877e-08    2.22802640e-04
-1.48300000e+02    2.28086907e-04    -4.59407011e-06    3.13224176e-08    2.23524160e-04
-1.48200000e+02    2.28832807e-04    -4.61808149e-06    3.14536750e-08    2.24246179e-04
-1.48100000e+02    2.29579167e-04    -4.64208702e-06    3.15849544e-08    2.24968665e-04
-1.48000000e+02    2.30325952e-04    -4.66608580e-06    3.17162503e-08    2.25691583e-04
-1.47900000e+02    2.31073128e-04    -4.69007691e-06    3.18475573e-08    2.26414898e-04
-1.47800000e+02    2.31820658e-04    -4.71405943e-06    3.19788699e-08    2.27138578e-04
-1.47700000e+02    2.32568508e-04    -4.73803246e-06    3.21101825e-08    2.27862585e-04
-1.47600000e+02    2.33316641e-04    -4.76199505e-06    3.22414897e-08    2.28586887e-04
-1.47500000e+02    2.34065022e-04    -4.78594629e-06    3.23727857e-08    2.29311448e-04
-1.47400000e+02    2.34813615e-04    -4.80988525e-06    3.25040652e-08    2.30036233e-04
