Energy (meV)          FC          FCHT        HT        TOT
-1.50000000e+02    1.80149437e-05    -4.17517023e-07    2.64966642e-09    1.76000763e-05
-1.49900000e+02    1.80950195e-05    -4.19630313e-07    2.66230340e-09    1.76780515e-05
-1.49800000e+02    1.81751607e-05    -4.21744872e-07    2.67494972e-09    1.77560908e-05
-1.49700000e+02    1.82553644e-05    -4.23860623e-07    2.68760491e-09    1.78341914e-05
-1.49600000e+02    1.83356273e-05    -4.25977488e-07    2.70026851e-09    1.79123501e-05
-1.49500000e+02    1.84159465e-05    -4.28095391e-07    2.71294007e-09    1.79905641e-05
-1.49400000e+02    1.84963187e-05    -4.30214254e-07    2.72561912e-09    1.80688301e-05
-1.49300000e+02    1.85767409e-05    -4.32333997e-07    2.73830520e-09    1.81471452e-05
-1.49200000e+02    1.86572098e-05    -4.34454543e-07    2.75099783e-09    1.82255063e-05
-1.49100000e+02    1.87377223e-05    -4.36575812e-07    2.76369656e-09    1.83039102e-05
-1.49000000e+02    1.88182752e-05    -4.38697725e-07    2.77640090e-09    1.83823539e-05
-1.48900000e+02    1.88988653e-05    -4.40820203e-07    2.78911038e-09    1.84608342e-05
-1.48800000e+02    1.89794894e-05    -4.42943164e-07    2.80182453e-09    1.85393480e-05
-1.48700000e+02    1.90601441e-05    -4.45066529e-07    2.81454287e-09    1.86178921e-05
-1.48600000e+02    1.91408263e-05    -4.47190217e-07    2.82726492e-09    1.86964633e-05
-1.48500000e+02    1.92215326e-05    -4.49314145e-07    2.83999020e-09    1.87750585e-05
-1.48400000e+02    1.93022598e-05    -4.51438234e-07    2.85271823e-09    1.88536743e-05
-1.48300000e+02    1.93830046e-05    -4.53562401e-07    2.86544851e-09    1.89323076e-05
-1.48200000e+02    1.94637636e-05    -4.55686563e-07    2.87818057e-09    1.90109552e-05
-1.48100000e+02    1.95445335e-05    -4.57810638e-07    2.89091391e-09    1.90896137e-05
-1.48000000e+02    1.96253109e-05    -4.59934543e-07    2.90364805e-09    1.91682800e-05
-1.47900000e+02    1.97060925e-05    -4.62058195e-07    2.91638249e-09    1.92469507e-05
-1.47800000e+02    1.97868748e-05    -4.64181510e-07    2.92911675e-09    1.93256224e-05
-1.47700000e+02    1.98676546e-05    -4.66304405e-07    2.94185032e-09    1.94042920e-05
-1.47600000e+02    1.99484282e-05    -4.68426795e-07    2.95458271e-09    1.94829560e-05
-1.47500000e+02    2.00291925e-05    -4.70548597e-07    2.96731343e-09    1.95616112e-05
-1.47400000e+02    2.01099438e-05    -4.72669724e-07    2.98004197e-09    1.96402541e-05
-1.47300000e+02    2.01906787e-05    -4.74790093e-07    2.99276783e-09    1.97188814e-05
-1.47200000e+02    2.02713938e-05    -4.76909618e-07    3.00549052e-09    1.97974897e-05
-1.47100000e+02    2.03520856e-05    -4.79028213e-07    3.01820953e-09    1.98760756e-05
-1.47000000e+02    2.04327505e-05    -4.81145794e-07    3.03092437e-09    1.99546357e-05
-1.46900000e+02    2.05133852e-05    -4.83262273e-07    3.04363451e-09    2.00331666e-05
-1.46800000e+02    2.05939860e-05    -4.85377565e-07    3.05633947e-09    2.01116648e-05
-1.46700000e+02    2.06745494e-05    -4.87491582e-07    3.06903873e-09    2.01901269e-05
-1.46600000e+02    2.07550720e-05    -4.89604240e-07    3.08173179e-09    2.02685494e-05
-1.46500000e+02    2.08355500e-05    -4.91715449e-07    3.09441814e-09    2.03469290e-05
-1.46400000e+02    2.09159800e-05    -4.93825125e-07    3.10709727e-09    2.04252620e-05
-1.46300000e+02    2.09963584e-05    -4.95933178e-07    3.11976867e-09    2.05035450e-05
-1.46200000e+02    2.10766817e-05    -4.98039521e-07    3.13243184e-09    2.05817746e-05
-1.46100000e+02    2.11569461e-05    -5.00144068e-07    3.14508626e-09    2.06599471e-05
-1.46000000e+02    2.12371481e-05    -5.02246730e-07    3.15773142e-09    2.07380591e-05
-1.45900000e+02    2.13172841e-05    -5.04347418e-07    3.17036681e-09    2.08161071e-05
-1.45800000e+02    2.13973505e-05    -5.06446045e-07    3.18299192e-09    2.08940874e-05
-1.45700000e+02    2.14773435e-05    -5.08542523e-07    3.19560624e-09    2.09719966e-05
-1.45600000e+02    2.15572597e-05    -5.10636762e-07    3.20820926e-09    2.10498312e-05
-1.45500000e+02    2.16370953e-05    -5.12728674e-07    3.22080046e-09    2.11275874e-05
-1.45400000e+02    2.17168467e-05    -5.14818171e-07    3.23337933e-09    2.12052619e-05
