Energy (meV)          FC          FCHT        HT        TOT
-1.43300000e+02    1.05887022e-07    -1.02470081e-08    2.47908511e-10    9.58879219e-08
-1.43200000e+02    1.06034960e-07    -1.02613246e-08    2.48254873e-10    9.60218903e-08
-1.43100000e+02    1.06183209e-07    -1.02756711e-08    2.48601961e-10    9.61561396e-08
-1.43000000e+02    1.06331769e-07    -1.02900476e-08    2.48949778e-10    9.62906707e-08
-1.42900000e+02    1.06480640e-07    -1.03044544e-08    2.49298324e-10    9.64254843e-08
-1.42800000e+02    1.06629825e-07    -1.03188915e-08    2.49647604e-10    9.65605812e-08
-1.42700000e+02    1.06779324e-07    -1.03333589e-08    2.49997618e-10    9.66959623e-08
-1.42600000e+02    1.06929137e-07    -1.03478568e-08    2.50348368e-10    9.68316282e-08
-1.42500000e+02    1.07079265e-07    -1.03623852e-08    2.50699858e-10    9.69675799e-08
-1.42400000e+02    1.07229710e-07    -1.03769442e-08    2.51052088e-10    9.71038180e-08
-1.42300000e+02    1.07380472e-07    -1.03915339e-08    2.51405060e-10    9.72403435e-08
-1.42200000e+02    1.07531553e-07    -1.04061544e-08    2.51758778e-10    9.73771572e-08
-1.42100000e+02    1.07682952e-07    -1.04208058e-08    2.52113243e-10    9.75142597e-08
-1.42000000e+02    1.07834672e-07    -1.04354881e-08    2.52468457e-10    9.76516520e-08
-1.41900000e+02    1.07986712e-07    -1.04502015e-08    2.52824422e-10    9.77893349e-08
-1.41800000e+02    1.08139074e-07    -1.04649461e-08    2.53181141e-10    9.79273092e-08
-1.41700000e+02    1.08291759e-07    -1.04797219e-08    2.53538615e-10    9.80655757e-08
-1.41600000e+02    1.08444767e-07    -1.04945289e-08    2.53896846e-10    9.82041353e-08
-1.41500000e+02    1.08598100e-07    -1.05093674e-08    2.54255838e-10    9.83429887e-08
-1.41400000e+02    1.08751759e-07    -1.05242374e-08    2.54615591e-10    9.84821368e-08
-1.41300000e+02    1.08905743e-07    -1.05391390e-08    2.54976109e-10    9.86215804e-08
-1.41200000e+02    1.09060055e-07    -1.05540722e-08    2.55337392e-10    9.87613204e-08
-1.41100000e+02    1.09214695e-07    -1.05690372e-08    2.55699444e-10    9.89013577e-08
-1.41000000e+02    1.09369665e-07    -1.05840341e-08    2.56062267e-10    9.90416930e-08
-1.40900000e+02    1.09524964e-07    -1.05990629e-08    2.56425862e-10    9.91823272e-08
-1.40800000e+02    1.09680595e-07    -1.06141237e-08    2.56790233e-10    9.93232611e-08
-1.40700000e+02    1.09836557e-07    -1.06292166e-08    2.57155381e-10    9.94644957e-08
-1.40600000e+02    1.09992852e-07    -1.06443418e-08    2.57521308e-10    9.96060317e-08
-1.40500000e+02    1.10149481e-07    -1.06594993e-08    2.57888016e-10    9.97478700e-08
-1.40400000e+02    1.10306445e-07    -1.06746891e-08    2.58255509e-10    9.98900115e-08
-1.40300000e+02    1.10463745e-07    -1.06899115e-08    2.58623787e-10    1.00032457e-07
-1.40200000e+02    1.10621381e-07    -1.07051665e-08    2.58992854e-10    1.00175208e-07
-1.40100000e+02    1.10779355e-07    -1.07204541e-08    2.59362712e-10    1.00318264e-07
-1.40000000e+02    1.10937668e-07    -1.07357745e-08    2.59733362e-10    1.00461627e-07
-1.39900000e+02    1.11096320e-07    -1.07511277e-08    2.60104807e-10    1.00605297e-07
-1.39800000e+02    1.11255313e-07    -1.07665140e-08    2.60477050e-10    1.00749276e-07
-1.39700000e+02    1.11414647e-07    -1.07819332e-08    2.60850092e-10    1.00893564e-07
-1.39600000e+02    1.11574324e-07    -1.07973857e-08    2.61223937e-10    1.01038163e-07
-1.39500000e+02    1.11734345e-07    -1.08128713e-08    2.61598586e-10    1.01183072e-07
-1.39400000e+02    1.11894710e-07    -1.08283903e-08    2.61974041e-10    1.01328293e-07
-1.39300000e+02    1.12055420e-07    -1.08439428e-08    2.62350305e-10    1.01473828e-07
-1.39200000e+02    1.12216477e-07    -1.08595287e-08    2.62727380e-10    1.01619676e-07
-1.39100000e+02    1.12377881e-07    -1.08751483e-08    2.63105269e-10    1.01765838e-07
-1.39000000e+02    1.12539634e-07    -1.08908016e-08    2.63483974e-10    1.01912317e-07
-1.38900000e+02    1.12701737e-07    -1.09064888e-08    2.63863497e-10    1.02059111e-07
-1.38800000e+02    1.12864189e-07    -1.09222098e-08    2.64243840e-10    1.02206223e-07
-1.38700000e+02    1.13026994e-07    -1.09379649e-08    2.64625007e-10    1.02353654e-07
-1.38600000e+02    1.13190151e-07    -1.09537541e-08    2.65006998e-10    1.02501404e-07
-1.38500000e+02    1.13353661e-07    -1.09695775e-08    2.65389818e-10    1.02649473e-07
-1.38400000e+02    1.13517526e-07    -1.09854352e-08    2.65773468e-10    1.02797864e-07
-1.38300000e+02    1.13681747e-07    -1.10013273e-08    2.66157950e-10    1.02946577e-07
-1.38200000e+02    1.13846324e-07    -1.10172539e-08    2.66543267e-10    1.03095613e-07
-1.38100000e+02    1.14011259e-07    -1.10332152e-08    2.66929421e-10    1.03244973e-07
-1.38000000e+02    1.14176552e-07    -1.10492111e-08    2.67316416e-10    1.03394657e-07
-1.37900000e+02    1.14342205e-07    -1.10652419e-08    2.67704252e-10    1.03544668e-07
-1.37800000e+02    1.14508219e-07    -1.10813076e-08    2.68092933e-10    1.03695005e-07
-1.37700000e+02    1.14674595e-07    -1.10974083e-08    2.68482461e-10    1.03845669e-07
-1.37600000e+02    1.14841334e-07    -1.11135441e-08    2.68872839e-10    1.03996662e-07
-1.37500000e+02    1.15008436e-07    -1.11297151e-08    2.69264069e-10    1.04147985e-07
-1.37400000e+02    1.15175904e-07    -1.11459214e-08    2.69656153e-10    1.04299639e-07
-1.37300000e+02    1.15343738e-07    -1.11621632e-08    2.70049094e-10    1.04451623e-07
-1.37200000e+02    1.15511938e-07    -1.11784405e-08    2.70442895e-10    1.04603941e-07
-1.37100000e+02    1.15680507e-07    -1.11947534e-08    2.70837558e-10    1.04756591e-07
-1.37000000e+02    1.15849445e-07    -1.12111021e-08    2.71233085e-10    1.04909576e-07
-1.36900000e+02    1.16018754e-07    -1.12274866e-08    2.71629480e-10    1.05062897e-07
-1.36800000e+02    1.16188434e-07    -1.12439070e-08    2.72026744e-10    1.05216554e-07
-1.36700000e+02    1.16358486e-07    -1.12603635e-08    2.72424880e-10    1.05370548e-07
-1.36600000e+02    1.16528912e-07    -1.12768562e-08    2.72823891e-10    1.05524880e-07
-1.36500000e+02    1.16699713e-07    -1.12933851e-08    2.73223779e-10    1.05679552e-07
-1.36400000e+02    1.16870890e-07    -1.13099504e-08    2.73624547e-10    1.05834564e-07
-1.36300000e+02    1.17042443e-07    -1.13265521e-08    2.74026198e-10    1.05989917e-07
-1.36200000e+02    1.17214375e-07    -1.13431904e-08    2.74428733e-10    1.06145613e-07
-1.36100000e+02    1.17386685e-07    -1.13598655e-08    2.74832156e-10    1.06301652e-07
-1.36000000e+02    1.17559376e-07    -1.13765773e-08    2.75236469e-10    1.06458035e-07
-1.35900000e+02    1.17732448e-07    -1.13933260e-08    2.75641676e-10    1.06614764e-07
-1.35800000e+02    1.17905903e-07    -1.14101117e-08    2.76047777e-10    1.06771839e-07
-1.35700000e+02    1.18079741e-07    -1.14269346e-08    2.76454777e-10    1.06929262e-07
-1.35600000e+02    1.18253964e-07    -1.14437947e-08    2.76862677e-10    1.07087032e-07
-1.35500000e+02    1.18428573e-07    -1.14606921e-08    2.77271481e-10    1.07245153e-07
-1.35400000e+02    1.18603569e-07    -1.14776270e-08    2.77681192e-10    1.07403624e-07
-1.35300000e+02    1.18778953e-07    -1.14945995e-08    2.78091810e-10    1.07562446e-07
-1.35200000e+02    1.18954727e-07    -1.15116096e-08    2.78503341e-10    1.07721621e-07
-1.35100000e+02    1.19130891e-07    -1.15286575e-08    2.78915785e-10    1.07881149e-07
-1.35000000e+02    1.19307446e-07    -1.15457433e-08    2.79329147e-10    1.08041032e-07
-1.34900000e+02    1.19484394e-07    -1.15628671e-08    2.79743428e-10    1.08201271e-07
-1.34800000e+02    1.19661737e-07    -1.15800291e-08    2.80158631e-10    1.08361866e-07
-1.34700000e+02    1.19839474e-07    -1.15972292e-08    2.80574759e-10    1.08522819e-07
-1.34600000e+02    1.20017608e-07    -1.16144678e-08    2.80991816e-10    1.08684132e-07
-1.34500000e+02    1.20196139e-07    -1.16317448e-08    2.81409802e-10    1.08845804e-07
-1.34400000e+02    1.20375068e-07    -1.16490603e-08    2.81828722e-10    1.09007837e-07
-1.34300000e+02    1.20554398e-07    -1.16664146e-08    2.82248579e-10    1.09170232e-07
-1.34200000e+02    1.20734129e-07    -1.16838077e-08    2.82669374e-10    1.09332990e-07
-1.34100000e+02    1.20914261e-07    -1.17012397e-08    2.83091111e-10    1.09496113e-07
-1.34000000e+02    1.21094798e-07    -1.17187107e-08    2.83513792e-10    1.09659601e-07
-1.33900000e+02    1.21275739e-07    -1.17362209e-08    2.83937421e-10    1.09823455e-07
-1.33800000e+02    1.21457085e-07    -1.17537704e-08    2.84362000e-10    1.09987677e-07
