-0.1       0.00689341   0.03278544   0.05011162   0.11017118
 0.0       0.00691376   0.03491210   0.04957649   0.10848335
 0.1       0.00690569   0.03691706   0.04883294   0.10705976
 0.2       0.00693038   0.03890783   0.04790616   0.10593965
 0.3       0.00692511   0.04073308   0.04679636   0.10512512
 0.4       0.00693238   0.04248116   0.04551020   0.10462812
 0.5       0.00692905   0.04407441   0.04407451   0.10446367
 0.6       0.00693251   0.04248155   0.04551004   0.10462813
 0.7       0.00692497   0.04073331   0.04679565   0.10512524
 0.8       0.00693255   0.03891241   0.04790423   0.10594083
 0.9       0.00690619   0.03691851   0.04882991   0.10706029
 1.0       0.00691391   0.03491434   0.04957192   0.10848484
 1.1       0.00689596   0.03278921   0.05010815   0.11017416
