Energy (meV)          FC          FCHT        HT        TOT
-1.50000000e+02    6.91835961e-06    -1.64263765e-07    1.03056232e-09    6.75512641e-06
-1.49900000e+02    6.95020793e-06    -1.65082163e-07    1.03552034e-09    6.78616129e-06
-1.49800000e+02    6.98208039e-06    -1.65901085e-07    1.04048212e-09    6.81721979e-06
-1.49700000e+02    7.01397581e-06    -1.66720502e-07    1.04544747e-09    6.84830076e-06
-1.49600000e+02    7.04589297e-06    -1.67540385e-07    1.05041621e-09    6.87940300e-06
-1.49500000e+02    7.07783065e-06    -1.68360703e-07    1.05538818e-09    6.91052534e-06
-1.49400000e+02    7.10978764e-06    -1.69181427e-07    1.06036320e-09    6.94166658e-06
-1.49300000e+02    7.14176271e-06    -1.70002526e-07    1.06534109e-09    6.97282553e-06
-1.49200000e+02    7.17375462e-06    -1.70823971e-07    1.07032168e-09    7.00400097e-06
-1.49100000e+02    7.20576213e-06    -1.71645729e-07    1.07530478e-09    7.03519171e-06
-1.49000000e+02    7.23778400e-06    -1.72467772e-07    1.08029022e-09    7.06639652e-06
-1.48900000e+02    7.26981896e-06    -1.73290069e-07    1.08527781e-09    7.09761417e-06
-1.48800000e+02    7.30186576e-06    -1.74112588e-07    1.09026738e-09    7.12884344e-06
-1.48700000e+02    7.33392313e-06    -1.74935298e-07    1.09525875e-09    7.16008309e-06
-1.48600000e+02    7.36598980e-06    -1.75758169e-07    1.10025173e-09    7.19133188e-06
-1.48500000e+02    7.39806449e-06    -1.76581170e-07    1.10524615e-09    7.22258857e-06
-1.48400000e+02    7.43014591e-06    -1.77404268e-07    1.11024182e-09    7.25385189e-06
-1.48300000e+02    7.46223278e-06    -1.78227432e-07    1.11523855e-09    7.28512058e-06
-1.48200000e+02    7.49432379e-06    -1.79050632e-07    1.12023617e-09    7.31639339e-06
-1.48100000e+02    7.52641764e-06    -1.79873834e-07    1.12523449e-09    7.34766904e-06
-1.48000000e+02    7.55851303e-06    -1.80697008e-07    1.13023333e-09    7.37894625e-06
-1.47900000e+02    7.59060864e-06    -1.81520121e-07    1.13523250e-09    7.41022375e-06
-1.47800000e+02    7.62270315e-06    -1.82343141e-07    1.14023182e-09    7.44150024e-06
-1.47700000e+02    7.65479525e-06    -1.83166037e-07    1.14523110e-09    7.47277444e-06
-1.47600000e+02    7.68688359e-06    -1.83988775e-07    1.15023015e-09    7.50404504e-06
-1.47500000e+02    7.71896684e-06    -1.84811324e-07    1.15522880e-09    7.53531075e-06
-1.47400000e+02    7.75104367e-06    -1.85633650e-07    1.16022684e-09    7.56657025e-06
-1.47300000e+02    7.78311273e-06    -1.86455722e-07    1.16522411e-09    7.59782224e-06
-1.47200000e+02    7.81517267e-06    -1.87277507e-07    1.17022040e-09    7.62906539e-06
-1.47100000e+02    7.84722214e-06    -1.88098972e-07    1.17521554e-09    7.66029838e-06
-1.47000000e+02    7.87925978e-06    -1.88920085e-07    1.18020933e-09    7.69151990e-06
-1.46900000e+02    7.91128421e-06    -1.89740811e-07    1.18520158e-09    7.72272861e-06
-1.46800000e+02    7.94329409e-06    -1.90561119e-07    1.19019212e-09    7.75392316e-06
-1.46700000e+02    7.97528803e-06    -1.91380976e-07    1.19518075e-09    7.78510224e-06
-1.46600000e+02    8.00726466e-06    -1.92200347e-07    1.20016728e-09    7.81626448e-06
-1.46500000e+02    8.03922259e-06    -1.93019200e-07    1.20515153e-09    7.84740855e-06
-1.46400000e+02    8.07116045e-06    -1.93837503e-07    1.21013330e-09    7.87853309e-06
-1.46300000e+02    8.10307685e-06    -1.94655220e-07    1.21511242e-09    7.90963674e-06
-1.46200000e+02    8.13497039e-06    -1.95472319e-07    1.22008869e-09    7.94071816e-06
-1.46100000e+02    8.16683968e-06    -1.96288767e-07    1.22506192e-09    7.97177597e-06
-1.46000000e+02    8.19868332e-06    -1.97104530e-07    1.23003193e-09    8.00280882e-06
-1.45900000e+02    8.23049991e-06    -1.97919575e-07    1.23499852e-09    8.03381533e-06
-1.45800000e+02    8.26228803e-06    -1.98733867e-07    1.23996152e-09    8.06479413e-06
-1.45700000e+02    8.29404630e-06    -1.99547374e-07    1.24492073e-09    8.09574384e-06
-1.45600000e+02    8.32577328e-06    -2.00360061e-07    1.24987597e-09    8.12666310e-06
-1.45500000e+02    8.35746757e-06    -2.01171896e-07    1.25482705e-09    8.15755050e-06
-1.45400000e+02    8.38912775e-06    -2.01982843e-07    1.25977378e-09    8.18840469e-06
-1.45300000e+02    8.42075241e-06    -2.02792870e-07    1.26471599e-09    8.21922425e-06
-1.45200000e+02    8.45234011e-06    -2.03601942e-07    1.26965347e-09    8.25000782e-06
